"phase","audit_item","finding","status","evidence"
"1.20","branch provenance","Dedicated branch exists; local and origin resolve to 49a054e3f80b8601fcb175826d54d71519f2813a","verified","git refs; outputs/week9_phase1_20_m3_g3_margin_acquisition/run_manifest.json:2-3,211-214"
"1.20","live sequential selection","G3 is refit at every budget from the revealed prefix; selected label is appended only after selection","pass","src/week9_phase1_20_m3_g3_margin_acquisition.py:46-65,168-204"
"1.20","selector leakage boundary","No held-out data, hidden candidate labels or q20/q30 flags enter selection","pass","outputs/week9_phase1_20_m3_g3_margin_acquisition/frozen_protocol.json:20-27; validation_report.json:3,21-24,43"
"1.20","G3 specification","Standalone 4D ARD Matern-3/2 GPC with P,VX,LS,ST and four length scales","verified","src/week9_phase1_12_gpc_kernel_adequacy.py:54,67-72,123-131"
"1.20","old GPC distinction","Week 8.5 GPC uses one isotropic length scale","verified","src/week7_phase6_real_data_boundary_active_level_set.py:677-686"
"1.20","same evaluator","P1 and P2 use the same frozen M3 evaluator/prediction path","pass","src/week9_phase1_20_m3_g3_margin_acquisition.py:68-74,191-197; src/week9_phase1_14_m3_margin_acquisition.py:145-160"
"1.20","splits and starts","100 runs; 324/81 pool/test; identical B16; training-only unique paths","pass","src/week9_phase1_20_m3_g3_margin_acquisition.py:123-136; outputs/week9_phase1_20_m3_g3_margin_acquisition/validation_report.json:9,13-20,26"
"1.20","repeat-block inference","Five folds averaged within each repeat; bootstrap uses 20 paired repeat means","pass","src/week9_phase1_20_analysis.py:217-245"
"1.20","primary result","P2-P1 q20 balanced AULC B16-40 -0.002560 [-0.010570,+0.005446], 9/20","verified","outputs/week9_phase1_20_m3_g3_margin_acquisition/paired_contrasts.csv:2"
"1.20","full-window result","P2-P1 q20 balanced AULC B16-80 -0.007014 [-0.011681,-0.002494], 7/20","verified","outputs/week9_phase1_20_m3_g3_margin_acquisition/paired_contrasts.csv:4"
"1.20","query-path difference","All 100 paths differ; active-only Jaccard 0.314 at B40 and 0.549 at B80","verified","outputs/week9_phase1_20_m3_g3_margin_acquisition/path_overlap_summary.csv:5-7"
"1.20","optimizer diagnostics","Zero fallbacks; frequent G3 warnings/bound hits; M3 convergence 91.92%","caveat","outputs/week9_phase1_20_m3_g3_margin_acquisition/fit_diagnostics_summary.csv:2-3"
"1.20","focused tests","All five selector/leakage/metric/bootstrap tests passed on rerun","pass","src/tests/test_week9_phase1_20_m3_g3_margin_acquisition.py:16-60"
"1.21","branch provenance","No dedicated local/remote branch; first tracked in consolidation commit 8e904978","verified","git log --all; outputs/project_consolidation/source_manifest.json.gz"
"1.21","protocol timing","Protocol frozen before first replication checkpoint","pass","outputs/week9_phase1_21_simplification_replication/FINAL_PHASE1_21_REPORT.md:24-26"
"1.21","replication population","Repeats 61-120 unused before phase but recycle the same 405 simulations","limitation","outputs/week9_phase1_21_simplification_replication/FINAL_PHASE1_21_REPORT.md:11,45,159-160"
"1.21","policy A","Same B16 seed; coverage inside queried-label log-h band until B40 then M3 margin","verified","outputs/week9_phase1_21_simplification_replication/PHASE1_21_PREREGISTERED_PROTOCOL.json:10-24"
"1.21","policy B","Eight-point maximin start plus policy A; composite seed/acquisition policy","verified","outputs/week9_phase1_21_simplification_replication/PHASE1_21_PREREGISTERED_PROTOCOL.json:25-29; FINAL_PHASE1_21_REPORT.md:159-162"
"1.21","leakage audit","120 scrambled-unqueried-label/depth states; zero mismatches; masked interface","pass","outputs/week9_phase1_21_simplification_replication/invariance_audit.json:1-9; src/week9_phase1_21_simplification_replication.py:117-155"
"1.21","primary endpoint","Fold-B1 q20 accuracy AULC B16-80; balanced accuracy and q30 secondary","verified","outputs/week9_phase1_21_simplification_replication/PHASE1_21_PREREGISTERED_PROTOCOL.json:49-59"
"1.21","candidate A result","B16-80 +0.003171 [0.001671,0.004759], 42/60; B16-40 +0.007055 [0.003762,0.010596], 43/60","verified","outputs/week9_phase1_21_simplification_replication/FINAL_PHASE1_21_REPORT.md:47-54"
"1.21","candidate B result","B16-80 +0.006708 [0.004775,0.008632], 54/60; B16-40 +0.013803 [0.009861,0.017790], 53/60","verified","outputs/week9_phase1_21_simplification_replication/FINAL_PHASE1_21_REPORT.md:47-54"
"1.21","practical 0.01","Neither B16-80 mean reaches 0.01; threshold was not the preregistered Phase 1.21 success rule","caveat","outputs/week9_phase1_21_simplification_replication/PHASE1_21_PREREGISTERED_PROTOCOL.json:68-78; REPLICATION_RESULT.json:2-40"
"1.21","researcher degrees of freedom","No replication tuning; family/settings came from earlier Phase 1.20 development screening","caveat","outputs/week9_phase1_21_simplification_replication/PHASE1_21_PREREGISTERED_PROTOCOL.json:3-5,23,98-109"
"1.21","final freeze","B is final composite challenger; A is pure-acquisition companion; M3-margin control","verified","outputs/week9_phase1_21_simplification_replication/FINAL_POLICY_FREEZE.json:2-24"
"1.22","branch provenance","No dedicated local/remote branch; first tracked in consolidation commit 8e904978","verified","git log --all; outputs/project_consolidation/source_manifest.json.gz"
