figure_id,title,file,presentation_ready,presentation_copy,sample_size,source_data_reference,takeaway,caveat
1,Phase 4 analysis tree,outputs/week6_04_new_outputs_feature_effects/figures/01_phase4_analysis_tree.png,False,,workflow,phase4_configuration.json,Phase 4 closes two new responses and focused physical diagnostics without reopening prior model searches.,"The tree is an experiment map, not a result."
2,Kinetic-energy monitor semantic audit,outputs/week6_04_new_outputs_feature_effects/figures/02_kinetic_energy_semantic_audit.png,False,,n=241 simulations,kinetic_energy_monitor_audit.csv,All 241 target windows are covered; 240 monitors fully align and the non-monotone traces support an instantaneous aggregate interpretation.,sim_00052 is source-short and sim_00034 contains 236 recorded NaNs; Ioan should confirm the exact solver particle-mass weighting formula.
3,Example kinetic-energy time series,outputs/week6_04_new_outputs_feature_effects/figures/03_example_kinetic_energy_time_series.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/03_example_kinetic_energy_time_series.png,sim_00196; 91619 melt-present rows,final_data_processed/sim_XXXXX/monitor/kinetic-energy_melt.dat,"The signal fluctuates around a late-active state, so a T0-window median is physically coherent.",This example is objectively typical but does not represent every transient.
4,Example total-height time series beside penetration depth,outputs/week6_04_new_outputs_feature_effects/figures/04_example_height_beside_depth.png,False,,sim_00022; 91636 melt-present rows,Phase 3.5 geometry partition and position-bounds_melt.dat,"Total height includes material above and below the original surface, while penetration measures only the below-surface part.",Neither curve alone identifies a melt regime.
5,Population distribution of the two new targets,outputs/week6_04_new_outputs_feature_effects/figures/05_new_target_distributions.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/05_new_target_distributions.png,n=241 per target,phase4_simulation_level_targets.csv,Both new responses vary substantially across the complete simulation design.,Distribution shape alone does not establish predictability or physical superiority of a target definition.
6,Primary-versus-adaptive target comparison,outputs/week6_04_new_outputs_feature_effects/figures/06_primary_vs_adaptive_targets.png,False,,paired n recorded per response,phase4_target_definition_sensitivity.csv,kinetic_energy: ρ=0.978; total_height: ρ=0.952,"The adaptive interval changes the temporal question and is a sensitivity check, not an automatically better target."
7,Representative kinetic-energy examples,outputs/week6_04_new_outputs_feature_effects/figures/07_representative_kinetic_energy_examples.png,False,,3 reproducibly selected simulations,representative_simulation_selection.csv and pinned kinetic monitors,"Typical, high-response, and target-definition-disagreement cases expose distinct time-series behaviour.",The examples illustrate selection rules; population conclusions use all 241 simulations.
8,Representative total-height examples,outputs/week6_04_new_outputs_feature_effects/figures/08_representative_total_height_examples.png,False,,3 reproducibly selected simulations,representative_simulation_selection.csv and Phase 3.5 geometry partitions,Total height and depth can move together but remain quantitatively different physical responses.,These examples do not replace the full-population sensitivity statistics.
9,Baseline-versus-GP metric comparison for kinetic_energy,outputs/week6_04_new_outputs_feature_effects/figures/09_kinetic_energy_model_comparison.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/09_kinetic_energy_model_comparison.png,exact LOO n=241,phase4_model_metrics.csv,The smallest plotted RMSE is from Matérn 3/2 + nugget; the paired bootstrap determines whether that difference is robust.,Point-error ranking alone is insufficient for kernel replacement or uncertainty selection.
10,Baseline-versus-GP metric comparison for total_height,outputs/week6_04_new_outputs_feature_effects/figures/10_total_height_model_comparison.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/10_total_height_model_comparison.png,exact LOO n=241,phase4_model_metrics.csv,The smallest plotted RMSE is from Matérn 3/2 + nugget; the paired bootstrap determines whether that difference is robust.,Point-error ranking alone is insufficient for kernel replacement or uncertainty selection.
11,Observed versus LOO-predicted kinetic_energy,outputs/week6_04_new_outputs_feature_effects/figures/11_kinetic_energy_observed_vs_loo.png,False,,n=241 held-out predictions,phase4_loo_predictions.csv and phase4_selected_model_decisions.csv,The selected point model is Linear Ridge.,Agreement is cross-validated but applies only within the present four-input simulation design.
12,Observed versus LOO-predicted total_height,outputs/week6_04_new_outputs_feature_effects/figures/12_total_height_observed_vs_loo.png,False,,n=241 held-out predictions,phase4_loo_predictions.csv and phase4_selected_model_decisions.csv,The selected point model is Polynomial Ridge.,Agreement is cross-validated but applies only within the present four-input simulation design.
13,Residual distributions,outputs/week6_04_new_outputs_feature_effects/figures/13_loo_residual_distributions.png,False,,n=241 per model and response,phase4_loo_predictions.csv,Residual spread shows how the compact nonlinear models compare with the simple baselines.,Boxplots suppress simulation identity; paired confidence intervals retain the pairing.
14,Predictive interval diagnostics,outputs/week6_04_new_outputs_feature_effects/figures/14_predictive_interval_diagnostics.png,False,,n=241 held-out intervals per GP,phase4_model_metrics.csv,Coverage indicates whether total predictive intervals contain held-out responses at approximately the nominal rate.,Coverage near 0.95 does not prove the full Gaussian predictive distribution is correct.
15,Spearman input-output association overview,outputs/week6_04_new_outputs_feature_effects/figures/15_spearman_input_output_overview.png,False,,n=241 per panel,phase4_simulation_level_targets.csv and phase4_spearman_correlations.csv,The panel annotations summarize monotone association strength without assuming linearity.,"Each panel is unadjusted for the other three inputs and therefore is descriptive, not causal."
16,Standardized Ridge coefficient comparison,outputs/week6_04_new_outputs_feature_effects/figures/16_standardized_ridge_coefficients.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/16_standardized_ridge_coefficients.png,n=241 per output,phase4_standardized_ridge_coefficients.csv,Coefficients compare conditional linear association magnitudes on a common standardized scale.,Regularization shrinks coefficients and the associations are not causal effects.
17,Width versus LS controlled-effect curve,outputs/week6_04_new_outputs_feature_effects/figures/17_width_vs_ls_controlled_curve.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/17_width_vs_ls_controlled_curve.png,n=241 training simulations,phase4_controlled_effect_curves.csv and phase4_simulation_level_targets.csv,The curve isolates the fitted LS association at the declared median reference settings.,Only supported curve segments are shown; the model association is not a causal beam-size effect.
18,Kinetic energy versus LS at low/median/high P,outputs/week6_04_new_outputs_feature_effects/figures/18_kinetic_energy_vs_ls_power_profiles.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/18_kinetic_energy_vs_ls_power_profiles.png,n=241 training simulations,phase4_controlled_effect_curves.csv,Power-specific slices show whether the fitted LS association changes across the observed power range.,"Unsupported portions are omitted, and aggregate kinetic energy is not itself a direct energy-concentration measurement."
19,depth P x VX controlled surface,outputs/week6_04_new_outputs_feature_effects/figures/19_depth_P_VX_surface.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/19_depth_P_VX_surface.png,n=230 stable simulations,phase4_interaction_surface_values.csv,The fitted surface is displayed only over supported grid cells (85% of the grid).,The surface holds LS and ST at medians and is an association within the sampled design.
20,total_height P x VX controlled surface,outputs/week6_04_new_outputs_feature_effects/figures/20_total_height_P_VX_surface.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/20_total_height_P_VX_surface.png,n=241 simulations,phase4_interaction_surface_values.csv,The fitted surface is displayed only over supported grid cells (85% of the grid).,The surface holds LS and ST at medians and is an association within the sampled design.
21,T0 depth (µm) versus T0 depth / LS (dimensionless),outputs/week6_04_new_outputs_feature_effects/figures/21_t0_depth_vs_depth_over_ls.png,False,,n=241,phase4_beam_normalized_penetration.csv,Beam normalization changes the ranking when spot radius differs.,LS is mathematically present in the denominator of D/LS; interpret LS primarily using absolute depth.
22,Persistent depth G3 (µm) versus G3 / LS (dimensionless),outputs/week6_04_new_outputs_feature_effects/figures/22_g3_vs_g3_over_ls.png,False,,n=240,phase4_beam_normalized_penetration.csv,G3/LS expresses persistent penetration relative to beam radius.,LS is mathematically present in the denominator of D/LS; interpret LS primarily using absolute depth.
23,Persistent depth/width R3 (dimensionless) versus Persistent depth/LS G3/LS (dimensionless),outputs/week6_04_new_outputs_feature_effects/figures/23_r3_vs_g3_over_ls.png,False,,n=240,phase4_beam_normalized_penetration.csv,R3 and G3/LS normalize persistent depth by different physical scales.,LS is mathematically present in the denominator of D/LS; interpret LS primarily using absolute depth.
24,Final physical-response summary,outputs/week6_04_new_outputs_feature_effects/figures/24_final_physical_response_summary.png,True,outputs/week6_04_new_outputs_feature_effects/presentation_ready_figures/24_final_physical_response_summary.png,four outputs × four inputs; n=241 descriptive simulations,phase4_spearman_correlations.csv and phase4_standardized_ridge_coefficients.csv,"Raw, conditional-linear, and nonlinear controlled views are kept separate to avoid overclaiming.",The four inputs come from a simulation design and the reported patterns remain associative.
25,Final Phase 4 decision tree,outputs/week6_04_new_outputs_feature_effects/figures/25_phase4_final_decision_tree.png,False,,two new model decisions plus focused reused diagnostics,phase4_selected_model_decisions.csv and decision_log.md,"Phase 4 closes the requested response analyses while preserving explicit boundaries around labels, causality, and active learning.",Ioan should confirm the exact kinetic-energy reduction formula before treating it as fully solver-certified.
