candidate_id,candidate_name,machine_readable_definition,unit,role,caveat,primary_analysis_domain,primary_persistence_window_um,minimum_width_guard_um,higher_value_more_keyhole_like
G0,Existing Phase 1 T0 depth,Median penetration depth over the final 20% of melt-present observations before s=0.90.,um,geometry baseline,Typical late-active geometry; not designed as a regime maximum.,Phase1_T0_window,,,True
G1,Global maximum depth,Maximum valid penetration depth over the complete observed track.,um,spike-sensitive reference,Retained intentionally to expose isolated peaks; not preferred for persistence.,full_valid_track,,,True
G2,Interior q95 depth,95th percentile of penetration depth in the selected analysis interior.,um,robust high-depth summary,High but not explicitly persistent.,adaptive_active_interior,,,True
G3,Persistent maximum depth,Maximum trailing rolling median depth over a physical-distance window; 50 um primary.,um,primary persistent-depth candidate,"Persistence is physical-distance based, not timestep based.",adaptive_active_interior,50.0,,True
G4,Persistent rolling-q80 depth,Maximum trailing rolling 80th-percentile depth over a physical-distance window.,um,robust-quantile sensitivity,"Sensitivity candidate, not searched post hoc.",adaptive_active_interior,50.0,,True
R0,T0-window median aspect ratio,Median penetration depth divided by transverse width over the T0 window.,dimensionless,geometry-ratio baseline,Uses the existing late-active window.,Phase1_T0_window,,12.0,True
R1,Global maximum aspect ratio,Maximum valid depth/width over the complete observed track.,dimensionless,spike-sensitive reference,Minimum-width guard is applied; still sensitive to one-frame excursions.,full_valid_track,,12.0,True
R2,Interior q95 aspect ratio,95th percentile of depth/width in the selected analysis interior.,dimensionless,robust high-ratio candidate,High but not explicitly persistent.,adaptive_active_interior,,12.0,True
R3,Persistent maximum aspect ratio,Maximum trailing rolling median depth/width over a physical-distance window; 50 um primary.,dimensionless,primary persistent-ratio candidate,"Primary candidate, not a predetermined winner.",adaptive_active_interior,50.0,12.0,True
R4,Persistent high-ratio duration,Fraction of adaptive-interior scan distance above a dataset-specific exploratory ratio threshold.,fraction,threshold-dependent diagnostic,Outer-training geometry threshold is used for held-out label evaluation.,adaptive_active_interior,,12.0,True
R5,First persistent high-ratio position,First normalized position where the 50 um rolling-median ratio exceeds the exploratory threshold.,normalized_position,censored transition diagnostic,Undefined when no persistent high-ratio event is observed.,adaptive_active_interior,50.0,12.0,False
