figure_file,relative_path,question,population,label_definition,major_caveat,size_bytes,sha256
01_T0_depth_keyhole_distribution.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/01_T0_depth_keyhole_distribution.png,Does T0 depth differ by manual Keyhole status?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",135087,58b4bbd8abc7b0d982b2c29badc43eac392b9c1a84dfae7e1e0ffd6ecc94f2bf
02_max_depth_keyhole_distribution.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/02_max_depth_keyhole_distribution.png,Does maximum depth differ by manual Keyhole status?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",135796,e71bfa3b9ca0d9063a0ecd50800c881225f53fd638514103cd1703af74c6c118
03_G3_keyhole_distribution.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/03_G3_keyhole_distribution.png,Does G3 differ by manual Keyhole status?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",134393,400100a24be38969fc6dc65cfa6fdc9d425b4ab9ae76ffdda64e584ac1c55cf0
04_R3_keyhole_distribution.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/04_R3_keyhole_distribution.png,Does R3 differ by manual Keyhole status?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",148378,e94a6adb0729cf202d466106a24a3c866c099f8ac0729105c4443e863882e3ff
05_main_candidate_roc_curves.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/05_main_candidate_roc_curves.png,How well do main scalars rank Keyhole cases?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",102409,a32e9be7cd895b8564045d44e7b347130663dd465409bee6e6d191d19b151089
06_main_candidate_precision_recall_curves.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/06_main_candidate_precision_recall_curves.png,How does precision-recall separation compare?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",92290,99d5bcfb438322bf64eec67731421c96b12e4aa7d6e74cce0d7cb2e85e7c1dea
07_scalar_proxy_auc_intervals.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/07_scalar_proxy_auc_intervals.png,How uncertain are scalar AUCs?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",79465,6f9a7400a93107b25e0621e83f1e69f6e3a2b3608316e7490de51fa04c09e0fb
08_threshold_cv_performance.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/08_threshold_cv_performance.png,Can training-selected scalar thresholds generalize?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",77074,028ed523d032c83951035ef6b17d4d3e7e59d48bd7c2914c71602cf768cdbcd1
09_threshold_stability.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/09_threshold_stability.png,Are fold-selected thresholds stable?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",91373,c3101e572a1597d21e82799661245bf90738515ff3ce967eee875db0566de814
10_keyhole_timing_main_candidates.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/10_keyhole_timing_main_candidates.png,How do candidate values vary with Keyhole timing?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",124002,bbc0aec43b72762c4debb0113d54ca66d138246ca3afc21a8d245ee9e29c0aed
11_transient_persistent_main_candidates.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/11_transient_persistent_main_candidates.png,How do transient and persistent Keyhole differ?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",119599,9d6b1cd7076c2b1c8f419b5c8166758758136442c4290bf960330b341ea338da
12_candidate_correlation_heatmap.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/12_candidate_correlation_heatmap.png,How redundant are physical candidates?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",163845,56bf94b3f547b3d3dfb0f270a88e259aee8aa7d0e7fb1d8a37b559a998d74f30
13_discordant_case_summary.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/13_discordant_case_summary.png,Which held-out cases disagree with top scalar thresholds?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",88665,1b8e248d4769bb201664b90ce808443512f0dc174554690b0093ac0d40cc982d
14_phase4_hard_case_overlap.png,outputs/week7_05_keyhole_physical_proxy_analysis/figures/14_phase4_hard_case_overlap.png,Do Phase 4 hard cases overlap proxy discordance?,new-data only (or saved Phase 4 new-data hard cases for figure 14),has_keyhole: at least one valid saved physical frame was manually labelled Keyhole,"manual morphology association, not causal proof or label replacement",101554,7431126c07737b65ab2f5d1641dbb9371acf2f4a43e560c57a814e02d52a09a8
