signal_id,quantity_or_feature,role,initial_class,temporal_availability,simulation_evidence,experimental_evidence_status,candidate_hidden_association,leakage_or_definition_risk,required_next_evidence,repository_evidence
S01,commanded laser power P,process input,uncertain,known before/during run,"present in the canonical input table","command logging and delivered-power fidelity not documented here",has_keyhole risk,"command is not necessarily delivered power","machine-interface definition and calibration record",docs/trackA_freeze/FROZEN_METHOD_SPEC.md
S02,commanded scan speed VX,process input,uncertain,known before/during run,"present in the canonical input table","command logging and realized-speed fidelity not documented here",has_keyhole risk,"command is not necessarily realized trajectory","machine-interface definition and timing record",docs/trackA_freeze/FROZEN_METHOD_SPEC.md
S03,laser spot radius LS,process input / calibration quantity,uncertain,usually fixed or known before run,"present in the canonical input table","online availability and optical calibration not documented here",has_keyhole risk,"nominal radius may differ from in-situ beam profile","beam definition calibration and uncertainty",docs/trackA_freeze/FROZEN_METHOD_SPEC.md
S04,substrate temperature ST,process input / possible measurement,potentially observable / literature-dependent,"setpoint may be known before run; actual temperature timing unresolved","ST is substrate temperature in the canonical data","no measurement modality validated for this setup",has_keyhole risk,"setpoint and measured temperature must not be conflated","sensor modality spatial support response time and calibration",outputs/week9_phase2_1r_simple_width_change_control/validation_report.json
S05,log h derived from P VX LS,engineered process coordinate,uncertain,computable whenever the three inputs are valid,"used by M3 as a physics coordinate","not a sensor; experimental validity inherits P/VX/LS definitions",has_keyhole risk,"derived value can conceal input and calibration error","confirm input meanings units and delivered-versus-commanded status",docs/trackA_freeze/FROZEN_METHOD_SPEC.md
S06,transverse melt-pool width trace,observable-like dynamic signal,potentially observable / literature-dependent,during-run in principle; retrospective simulation trace here,"350 of 405 old simulations had a usable retained trace","no camera modality frame rate calibration or real-time extraction validated here",has_keyhole probability,"simulation width definition may not match optical width; structured missingness",measurement definition synchronized imaging evidence and failure analysis,outputs/week9_phase2_2_width_informed_active_learning/width_availability_audit.csv
S07,maximum positive width change max_positive_delta_W,derived dynamic feature,potentially observable / literature-dependent,"requires width observations through the chosen prefix/window","modest added predictive ranking information beyond process inputs; 95.4% of maxima occurred in first 5% of old traces","inherits all width-measurement limitations",has_keyhole probability,"startup feature not keyhole-onset measurement; grid and smoothing dependence",predeclare sampling rate prefix denoising and measurement equivalence,outputs/week9_phase2_1r_simple_width_change_control/claim_ledger.md
S08,early-prefix width-change feature,derived dynamic feature,potentially observable / literature-dependent,available only after its frozen prefix,"old-data early-prefix study found ranking information but no hard-classification claim","inherits width modality and latency limitations",has_keyhole probability,"future samples and full-trace extrema must be excluded",causal timestamp audit and prospective extraction specification,outputs/week9_phase2_1re_early_prefix_width_control/FINAL_PHASE2_1RE_REPORT.md
S09,width-monitor availability / failure indicator,measurement-quality signal,uncertain,known when a monitor succeeds or fails,"55 of 405 old simulations lacked a usable trace and missingness was structured","physical experiment failure mechanism is not characterized",has_keyhole probability or selection bias,"using missingness as a predictor can encode instrumentation or selection bias",hardware-specific missingness taxonomy and blinded audit,outputs/week9_phase2_2_width_informed_active_learning/width_availability_audit.csv
S10,melt-pool length or projected area,observable-like geometry,potentially observable / literature-dependent,during-run in principle,"related geometric quantities may exist in simulation outputs but are not frozen Track B features","no setup-specific measurement definition or evidence in this repository",has_keyhole probability,"segmentation definition and view geometry can change the estimand",literature review plus setup-specific calibration and time resolution,docs/trackB/LITERATURE_QUESTIONS.md
S11,temperature-related optical intensity or pyrometry signal,possible sensor signal,uncertain,during-run in principle,"temperature fields may exist in simulation but were not audited here as experimental signals","no wavelength emissivity calibration saturation or sensor evidence in this repository",has_keyhole probability,"intensity is not temperature without a measurement model",modality-specific literature and calibration protocol,docs/trackB/LITERATURE_QUESTIONS.md
S12,internal melt-pool/keyhole depth or penetration,hidden physical state,simulation-only / hidden,not established online,"used or derivable in earlier SPH response analyses","no validated online modality in this repository",has_keyhole or severity,"must not relabel simulator depth as an observation",independent evidence before any reclassification,docs/PROJECT_INDEX.md
S13,internal particle phase void or subsurface topology,hidden simulator state,simulation-only / hidden,not available online by current evidence,"available only through detailed simulator state where retained","no online experimental measurement path documented",has_keyhole or pore formation,"direct label leakage if used to infer a label defined from the same state",formal state-to-label definition and independent sensor evidence,docs/trackB/LITERATURE_QUESTIONS.md
S14,manual has_keyhole label,hidden target,simulation-only / hidden,available only after oracle/manual labelling,"canonical binary target; 73 positives in the old 405 pool","not an assumed online signal",not applicable,"target leakage if included in predictors or preprocessing",locked label provenance and blinded evaluation protocol,docs/trackA_freeze/TRACK_A_FINAL_STATE.md
S15,post-process pore or defect outcome,downstream outcome,uncertain,typically after run,"not established as a canonical Track B field here","observability timing and relation to keyhole are unspecified",has_keyhole or downstream quality,"post-run outcome cannot be called an online predictor",define outcome measurement timing and causal role,docs/trackB/LITERATURE_QUESTIONS.md
