quantity,source_file,source_symbol,formula_or_definition,reuse_method,source_sha256
active cutoff,src/week6_phase1_melt_pool_data_audit.py,ACTIVE_DOMAIN_FRACTION,"min(recording end, 0.90 * laser exit time)",constant imported and used directly,c51f0928271f259c6d62df570046d08672b374f24e854ef2524592cd3e74f2bb
T0 duration,src/week6_phase1_melt_pool_data_audit.py,LATE_WINDOW_FRACTION,final 20% between first valid melt and active cutoff,constant imported and used directly,c51f0928271f259c6d62df570046d08672b374f24e854ef2524592cd3e74f2bb
minimum T0 rows,src/week6_phase1_melt_pool_data_audit.py,MIN_LATE_ROWS,fallback to final 50 eligible rows,constant imported and used directly,c51f0928271f259c6d62df570046d08672b374f24e854ef2524592cd3e74f2bb
melt validity,src/week6_phase1_melt_pool_data_audit.py,SENTINEL_THRESHOLD,"finite, ordered bounds with abs(value)<1e30",constant imported and same formula,c51f0928271f259c6d62df570046d08672b374f24e854ef2524592cd3e74f2bb
width,src/week6_phase1_melt_pool_data_audit.py,parse_all_melt_bounds,y_max-y_min,same executable formula,c51f0928271f259c6d62df570046d08672b374f24e854ef2524592cd3e74f2bb
depth,src/week6_phase1_melt_pool_data_audit.py,parse_all_melt_bounds,"max(0,-z_min)",same executable formula,c51f0928271f259c6d62df570046d08672b374f24e854ef2524592cd3e74f2bb
total height,src/week6_phase3_5_regime_target_design.py,process_simulation,z_max-z_min,same executable formula,dbd865c5d5d09090bbaeec74b5331d234b5ac73412d95781707e47c31d03421a
kinetic energy,src/week6_phase4_new_outputs_feature_effects.py,extract_targets,median aligned kinetic-energy_melt.dat values in T0,same formula and units,86134f157136f5e899b715eec4edff77151ca431f08203bd11331af571da095b
G3/R3 continuity,src/week6_phase3_5_regime_target_design.py,rolling_distance_stat / safe_ratio,maximum trailing 50 µm rolling medians in adaptive interior,functions imported and used directly,dbd865c5d5d09090bbaeec74b5331d234b5ac73412d95781707e47c31d03421a
sph_v2 domain layer,src/week7_phase2_sph_v2_physical_target_extraction.py,verify_domain_compatibility,"domain_max=min(XF,XL)+12 µm",smallest structural compatibility layer; verified against all exact Week 6 matches,8818f04c091528a70f1dba8085ca3ab1f4d3a372c716601b2876c36c1feb22b6
supervisor-confirmed textual no-melt sentinel,src/week7_phase2_sph_v2_physical_target_extraction.py,load_numeric,"recognize only exact field s3.402823e+38 as +3.402823e+38, then exclude row with abs(value)<1e30",parser compatibility only; Week 6 melt-validity and target formulas unchanged,8818f04c091528a70f1dba8085ca3ab1f4d3a372c716601b2876c36c1feb22b6
