question,target,week6_conclusion,new_data_evidence,status,evidence
Q1,width,GP outperforms Linear Ridge in out-of-sample error,Matérn 3/2 + learned nugget RMSE=3.5047 versus Linear Ridge RMSE=10.8163; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q2,width,GP outperforms degree-2 Polynomial Ridge in raw error,Matérn 3/2 + learned nugget RMSE=3.5047 versus Polynomial Ridge degree 2 RMSE=4.29955; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q5,width,A shared learned nugget is useful for predictive performance or calibration under the GP model,useful=True; point advantage=False; calibration advantage=0.03659; NLPD advantage=0.03166.,REPRODUCED,noise_treatment_comparison.csv; model_selection_decisions.csv
Q6,width,Week 6 protocol selected Matérn 3/2 + learned nugget,New-data empirical learned-kernel winner=Matérn 3/2 + learned nugget; protocol selection=Matérn 3/2 + learned nugget.,REPRODUCED,kernel_comparison.csv; paired_model_comparisons.csv
Q1,depth,GP outperforms Linear Ridge in out-of-sample error,Matérn 3/2 + learned nugget RMSE=21.8082 versus Linear Ridge RMSE=43.2581; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q2,depth,GP outperforms degree-2 Polynomial Ridge in raw error,Matérn 3/2 + learned nugget RMSE=21.8082 versus Polynomial Ridge degree 2 RMSE=33.6038; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q5,depth,A shared learned nugget is useful for predictive performance or calibration under the GP model,useful=False; point advantage=False; calibration advantage=0.006098; NLPD advantage=-0.02599.,REVERSED,noise_treatment_comparison.csv; model_selection_decisions.csv
Q6,depth,Week 6 protocol selected Matérn 3/2 + learned nugget,New-data empirical learned-kernel winner=Matérn 3/2 + learned nugget; protocol selection=Matérn 3/2 + learned nugget.,REPRODUCED,kernel_comparison.csv; paired_model_comparisons.csv
Q1,total_height,GP outperforms Linear Ridge in out-of-sample error,Matérn 3/2 + learned nugget RMSE=22.4006 versus Linear Ridge RMSE=44.5167; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q2,total_height,GP outperforms degree-2 Polynomial Ridge in raw error,Matérn 3/2 + learned nugget RMSE=22.4006 versus Polynomial Ridge degree 2 RMSE=34.2421; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q5,total_height,A shared learned nugget is useful for predictive performance or calibration under the GP model,useful=False; point advantage=False; calibration advantage=0; NLPD advantage=-0.01604.,REVERSED,noise_treatment_comparison.csv; model_selection_decisions.csv
Q6,total_height,Week 6 protocol selected Matérn 3/2 + learned nugget,New-data empirical learned-kernel winner=Matérn 5/2 + learned nugget; protocol selection=Matérn 3/2 + learned nugget.,REPRODUCED,kernel_comparison.csv; paired_model_comparisons.csv
Q1,kinetic_energy,GP outperforms Linear Ridge in out-of-sample error,Matérn 3/2 + learned nugget RMSE=0.563873 versus Linear Ridge RMSE=0.730832; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q2,kinetic_energy,GP outperforms degree-2 Polynomial Ridge in raw error,Matérn 3/2 + learned nugget RMSE=0.563873 versus Polynomial Ridge degree 2 RMSE=0.678717; paired MAE/RMSE robust advantage=True.,REPRODUCED,fold_level_predictions.csv; paired_model_comparisons.csv
Q5,kinetic_energy,A shared learned nugget is useful for predictive performance or calibration under the GP model,useful=True; point advantage=False; calibration advantage=0.01829; NLPD advantage=0.1259.,REPRODUCED,noise_treatment_comparison.csv; model_selection_decisions.csv
Q6,kinetic_energy,Week 6 protocol selected Matérn 3/2 + learned nugget,New-data empirical learned-kernel winner=Matérn 3/2 + learned nugget; protocol selection=Matérn 3/2 + learned nugget.,REPRODUCED,kernel_comparison.csv; paired_model_comparisons.csv
Q3,width,Width is relatively simple and degree-2 Polynomial Ridge is competitive with GP,polynomial_ridge_competitive=True; protocol point model=polynomial_ridge_degree2.,REPRODUCED,model_selection_decisions.csv; model_metric_table.csv
Q4,depth,Depth benefits materially from GP flexibility,simple_models_competitive=[]; protocol point model=matern32_learned_nugget.,REPRODUCED,model_selection_decisions.csv; paired_model_comparisons.csv
Q7,total_height,Polynomial Ridge is the parsimonious total-height point model; Matérn 3/2 plus nugget supplies uncertainty,new point=matern32_learned_nugget; new GP=matern32_learned_nugget; relative RMSE=22.261%.,WEAKENED,week6_vs_new_data_comparison.csv
Q8,kinetic_energy,Linear Ridge is the parsimonious kinetic-energy point model; GP uncertainty remains useful,new point=matern32_learned_nugget; relative MAE=9.022%; relative RMSE=16.832%; R2=0.8900.,WEAKENED,week6_vs_new_data_comparison.csv
Q9,all,"Model difficulty should be compared using relative error and ranking, not absolute error alone",depth: higher relative out-of-sample error in the new sampled domain; kinetic_energy: higher relative out-of-sample error in the new sampled domain; total_height: higher relative out-of-sample error in the new sampled domain; width: lower relative out-of-sample error in the new sampled domain,UNRESOLVED,week6_vs_new_data_comparison.csv
Q10,all,The Week 6 candidate/evaluation pipeline and all target-specific final model choices transfer unchanged,"The fold-local LOO comparison pipeline remains adequate without new kernels or a larger search, but total-height and kinetic-energy point choices changed and the learned-nugget conclusion reversed for depth and total height.",WEAKENED,model_selection_decisions.csv; week6_vs_new_data_comparison.csv; noise_treatment_comparison.csv
